index,likes,feedback,link
0,30,86.8,https://www.aliexpress.com/item/3256804161006816.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-4&pdp_ext_f=%7B%22sku_id%22%3A%2212000028858561427%22%7D&pdp_npi=2%40dis%21USD%21%21322.22%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028858561427%21sea
1,13,97.7,https://www.aliexpress.com/item/3256804005444510.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-29&pdp_ext_f=%7B%22sku_id%22%3A%2212000028332145773%22%7D&pdp_npi=2%40dis%21USD%21%211233.72%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028332145773%21sea
2,301,100.0,https://www.aliexpress.com/item/3256804084649878.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-34&pdp_ext_f=%7B%22sku_id%22%3A%2212000028583838577%22%7D&pdp_npi=2%40dis%21USD%21%21247.5%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028583838577%21sea
3,27,97.4,https://www.aliexpress.com/item/3256803871669093.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-35&pdp_ext_f=%7B%22sku_id%22%3A%2212000027894999970%22%7D&pdp_npi=2%40dis%21USD%21%211439.01%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000027894999970%21sea
4,123,96.8,https://www.aliexpress.com/item/3256804188635071.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-36&pdp_ext_f=%7B%22sku_id%22%3A%2212000028955499018%22%7D&pdp_npi=2%40dis%21USD%21%211017.57%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028955499018%21sea
5,26,98.9,https://www.aliexpress.com/item/3256803879168840.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-39&pdp_ext_f=%7B%22sku_id%22%3A%2212000027922634643%22%7D&pdp_npi=2%40dis%21USD%21%211457.84%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000027922634643%21sea
6,1054,96.8,https://www.aliexpress.com/item/3256802692771091.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-41&pdp_ext_f=%7B%22sku_id%22%3A%2212000023183332561%22%7D&pdp_npi=2%40dis%21USD%21%21334.99%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000023183332561%21sea
7,12,95.2,https://www.aliexpress.com/item/3256804132247262.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-42&pdp_ext_f=%7B%22sku_id%22%3A%2212000028734437095%22%7D&pdp_npi=2%40dis%21USD%21%21716.69%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028734437095%21sea
8,52,95.2,https://www.aliexpress.com/item/3256804122249451.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-44&pdp_ext_f=%7B%22sku_id%22%3A%2212000028702877853%22%7D&pdp_npi=2%40dis%21USD%21%21656.25%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028702877853%21sea
9,3447,97.8,https://www.aliexpress.com/item/2255801025803895.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-45&pdp_ext_f=%7B%22sku_id%22%3A%2212000025523912127%22%7D&pdp_npi=2%40dis%21USD%21%211082.25%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000025523912127%21sea
10,258,97.4,https://www.aliexpress.com/item/3256804083956463.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-46&pdp_ext_f=%7B%22sku_id%22%3A%2212000028588325581%22%7D&pdp_npi=2%40dis%21USD%21%211825.08%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000028588325581%21sea
11,38,97.9,https://www.aliexpress.com/item/3256803882181652.html?algo_pvid=d6451988-c902-471e-bc76-4a6971b09176&algo_exp_id=d6451988-c902-471e-bc76-4a6971b09176-53&pdp_ext_f=%7B%22sku_id%22%3A%2212000027937591288%22%7D&pdp_npi=2%40dis%21USD%21%211097.59%21%21%21%21%21%402101d4a716575363872936284e5d9d%2112000027937591288%21sea
