index,likes,feedback,link
0,298,97.4,https://www.aliexpress.com/item/2255801116473795.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&aem_p4p_detail=202207110253051756659755266020001993914&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-4&pdp_ext_f=%7B%22sku_id%22%3A%2212000027406486319%22%7D&pdp_npi=2%40dis%21USD%21%2159.86%21%21%21%21%21%40210318b916575331853773300ecb67%2112000027406486319%21sea
1,241,98.7,https://www.aliexpress.com/item/3256801920835720.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&aem_p4p_detail=202207110253051756659755266020001993914&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-9&pdp_ext_f=%7B%22sku_id%22%3A%2212000018762389652%22%7D&pdp_npi=2%40dis%21USD%21%21123.16%21%21%21%21%21%40210318b916575331853773300ecb67%2112000018762389652%21sea
2,14,98.6,https://www.aliexpress.com/item/3256803727852245.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-10&pdp_ext_f=%7B%22sku_id%22%3A%2212000027455116625%22%7D&pdp_npi=2%40dis%21USD%21%211.0%21%21%21%21%21%40210318b916575331853773300ecb67%2112000027455116625%21sea
3,13,99.1,https://www.aliexpress.com/item/3256804152417588.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-48&pdp_ext_f=%7B%22sku_id%22%3A%2212000028814568176%22%7D&pdp_npi=2%40dis%21USD%21%212.47%21%21%21%21%21%40210318b916575331853773300ecb67%2112000028814568176%21sea
4,2484,94.8,https://www.aliexpress.com/item/2251832112456674.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&aem_p4p_detail=202207110253051756659755266020001993914&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-49&pdp_ext_f=%7B%22sku_id%22%3A%2210000007786674563%22%7D&pdp_npi=2%40dis%21USD%21%2120.18%21%21%21%21%21%40210318b916575331853773300ecb67%2110000007786674563%21sea
5,16,95.8,https://www.aliexpress.com/item/3256804164127184.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-50&pdp_ext_f=%7B%22sku_id%22%3A%2212000028859014112%22%7D&pdp_npi=2%40dis%21USD%21%219.67%21%21%21%21%21%40210318b916575331853773300ecb67%2112000028859014112%21sea
6,541,94.2,https://www.aliexpress.com/item/3256804085361799.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-53&pdp_ext_f=%7B%22sku_id%22%3A%2212000028585667122%22%7D&pdp_npi=2%40dis%21USD%21%215.21%21%21%21%21%21%40210318b916575331853773300ecb67%2112000028585667122%21sea
7,413,98.4,https://www.aliexpress.com/item/3256801169067017.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&aem_p4p_detail=202207110253051756659755266020001993914&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-54&pdp_ext_f=%7B%22sku_id%22%3A%2212000015793261931%22%7D&pdp_npi=2%40dis%21USD%21%2157.6%21%21%21%21%21%40210318b916575331853773300ecb67%2112000015793261931%21sea
8,14,90.5,https://www.aliexpress.com/item/3256802501236669.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-55&pdp_ext_f=%7B%22sku_id%22%3A%2212000021719519363%22%7D&pdp_npi=2%40dis%21USD%21%211.17%21%21%21%21%21%40210318b916575331853773300ecb67%2112000021719519363%21sea
9,13,89.7,https://www.aliexpress.com/item/3256803601798750.html?algo_pvid=93e71e86-693f-4201-99f5-f5f88f268363&algo_exp_id=93e71e86-693f-4201-99f5-f5f88f268363-56&pdp_ext_f=%7B%22sku_id%22%3A%2212000027169274253%22%7D&pdp_npi=2%40dis%21USD%21%212.6%21%21%21%21%21%40210318b916575331853773300ecb67%2112000027169274253%21sea
